,dateorder,idbill,idproduct,qty,price
122,2020-09-02,6085,30365,1.0,5.82
136,2020-09-02,9909,30365,1.0,6.22
196,2020-09-02,11523,30365,1.0,6.04
271,2020-09-02,15001,30365,2.0,12.08
302,2020-09-02,15459,30365,1.0,6.04
485,2020-09-02,17236,30365,1.0,6.04
623,2020-09-02,20135,30365,1.0,5.82
677,2020-09-02,23902,30365,1.0,5.82
729,2020-09-02,25286,30365,1.0,6.04
851,2020-09-02,26740,30365,1.0,6.04
956,2020-09-02,29032,30365,1.0,6.04
1052,2020-09-02,29929,30365,2.0,12.08
1054,2020-09-02,29934,30365,1.0,6.04
1091,2020-09-02,30317,30365,1.0,6.04
1254,2020-09-02,34174,30365,1.0,5.82
1367,2020-09-02,40183,30365,1.0,6.04
1376,2020-09-02,40925,30365,1.0,6.04
1385,2020-09-02,40961,30365,1.0,6.04
1416,2020-09-02,41025,30365,1.0,6.04
1426,2020-09-02,41039,30365,1.0,6.04
1448,2020-09-02,41092,30365,1.0,6.37
1479,2020-09-02,41242,30365,1.0,6.37
1501,2020-09-02,42090,30365,2.0,12.08
1517,2020-09-02,42174,30365,1.0,6.04
1536,2020-09-02,43423,30365,1.0,6.04
1606,2020-09-02,49299,30365,1.0,5.82
1675,2020-09-02,50178,30365,2.0,12.08
1702,2020-09-02,50343,30365,1.0,6.04
1711,2020-09-02,50387,30365,1.0,6.04
1733,2020-09-02,52028,30365,2.0,12.08
1738,2020-09-02,52066,30365,1.0,6.04
1832,2020-09-02,53752,30365,1.0,6.04
1895,2020-09-02,57217,30365,1.0,6.04
1898,2020-09-02,57223,30365,1.0,6.04
2103,2020-09-02,58438,30365,2.0,12.74
2104,2020-09-02,58440,30365,1.0,6.37
2114,2020-09-02,58491,30365,1.0,6.37
2159,2020-09-02,63442,30365,1.0,6.37
2162,2020-09-02,63469,30365,1.0,6.37
2192,2020-09-02,64868,30365,1.0,6.04
2217,2020-09-02,65015,30365,1.0,6.04
2237,2020-09-02,65102,30365,1.0,6.04
2271,2020-09-02,65540,30365,1.0,6.37
2315,2020-09-02,66931,30365,1.0,6.37
2350,2020-09-02,70026,30365,1.0,6.37
2403,2020-09-02,71568,30365,1.0,6.37
2425,2020-09-02,71697,30365,1.0,6.37
2495,2020-09-02,74935,30365,3.0,18.12
2504,2020-09-02,75009,30365,1.0,6.04
2505,2020-09-02,75023,30365,1.0,6.04
2575,2020-09-02,75562,30365,1.0,6.04
2579,2020-09-02,75583,30365,1.0,6.04
2636,2020-09-02,80584,30365,1.0,6.37
2677,2020-09-02,80890,30365,1.0,6.37
2681,2020-09-02,80899,30365,1.0,6.37
2704,2020-09-02,88837,30365,1.0,6.04
2802,2020-09-02,97470,30365,2.0,12.08
2824,2020-09-02,98968,30365,1.0,6.37
2831,2020-09-02,99012,30365,2.0,12.74
2832,2020-09-02,99043,30365,2.0,12.74
2853,2020-09-02,100575,30365,1.0,6.37
2916,2020-09-02,143808,30365,1.0,6.04
2984,2020-09-02,143947,30365,1.0,6.04
3034,2020-09-02,148944,30365,1.0,6.04
3057,2020-09-02,157755,30365,1.0,6.04
3085,2020-09-02,164287,30365,1.0,6.04
3109,2020-09-02,186479,30365,1.0,6.04
3135,2020-09-02,186599,30365,1.0,6.04
3139,2020-09-02,189354,30365,1.0,6.04
3168,2020-09-02,189425,30365,1.0,6.04
3244,2020-09-02,193139,30365,2.0,12.74
3259,2020-09-02,193269,30365,1.0,6.37
3284,2020-09-02,217637,30365,1.0,6.04
3289,2020-09-02,217659,30365,1.0,6.04
3295,2020-09-02,241497,30365,1.0,6.04
3349,2020-09-02,243501,30365,1.0,6.37
3375,2020-09-02,256141,30365,1.0,6.04
3411,2020-09-02,267839,30365,1.0,6.37
3435,2020-09-02,319816,30365,1.0,6.04
3441,2020-09-02,319851,30365,1.0,6.04
3517,2020-09-02,471938,30365,1.0,6.37
3656,2020-09-03,10008,30365,1.0,6.22
4075,2020-09-03,16440,30365,1.0,5.82
4119,2020-09-03,17379,30365,1.0,6.04
4252,2020-09-03,20220,30365,2.0,10.47
4278,2020-09-03,22930,30365,1.0,6.15
4284,2020-09-03,23987,30365,1.0,5.82
4344,2020-09-03,24110,30365,1.0,5.82
4370,2020-09-03,25387,30365,1.0,6.04
4525,2020-09-03,26629,30365,1.0,6.04
4532,2020-09-03,26647,30365,1.0,6.04
4707,2020-09-03,29231,30365,1.0,6.04
4773,2020-09-03,29563,30365,1.0,6.48
4779,2020-09-03,30068,30365,1.0,6.04
4798,2020-09-03,30346,30365,1.0,6.04
4824,2020-09-03,30437,30365,1.0,6.04
4912,2020-09-03,34198,30365,1.0,5.82
5091,2020-09-03,35502,30365,1.0,6.04
5092,2020-09-03,35520,30365,1.0,6.04
5116,2020-09-03,40347,30365,1.0,6.04
5202,2020-09-03,41220,30365,1.0,6.04
5271,2020-09-03,41300,30365,1.0,6.04
5388,2020-09-03,43691,30365,2.0,12.08
5419,2020-09-03,49334,30365,1.0,5.82
5475,2020-09-03,49922,30365,1.0,6.04
5486,2020-09-03,50162,30365,1.0,6.04
5560,2020-09-03,52326,30365,1.0,6.04
5656,2020-09-03,53754,30365,1.0,6.04
5668,2020-09-03,53982,30365,1.0,6.04
5680,2020-09-03,54045,30365,1.0,6.04
5907,2020-09-03,57982,30365,1.0,6.04
5914,2020-09-03,58004,30365,1.0,6.04
5961,2020-09-03,58130,30365,2.0,12.08
5967,2020-09-03,58156,30365,1.0,6.04
6077,2020-09-03,65296,30365,1.0,6.04
6102,2020-09-03,65638,30365,1.0,6.37
6143,2020-09-03,65806,30365,2.0,12.74
6149,2020-09-03,65826,30365,1.0,6.37
6169,2020-09-03,67274,30365,1.0,6.37
6182,2020-09-03,70240,30365,1.0,6.37
6240,2020-09-03,71835,30365,1.0,6.37
6284,2020-09-03,71964,30365,1.0,6.37
6452,2020-09-03,75344,30365,1.0,6.04
6575,2020-09-03,76011,30365,1.0,6.04
6603,2020-09-03,76113,30365,1.0,6.04
6611,2020-09-03,81025,30365,1.0,6.37
6684,2020-09-03,89103,30365,1.0,6.04
6705,2020-09-03,92305,30365,1.0,6.04
6737,2020-09-03,97781,30365,1.0,6.04
6763,2020-09-03,97988,30365,1.0,6.04
6801,2020-09-03,98335,30365,1.0,6.04
6820,2020-09-03,99081,30365,1.0,6.37
6824,2020-09-03,99091,30365,1.0,6.37
6874,2020-09-03,102276,30365,1.0,6.37
6898,2020-09-03,102560,30365,1.0,6.37
6903,2020-09-03,102620,30365,1.0,6.37
6908,2020-09-03,102681,30365,1.0,6.37
7118,2020-09-03,164491,30365,1.0,6.04
7248,2020-09-03,189690,30365,1.0,6.04
7291,2020-09-03,189791,30365,1.0,6.04
7323,2020-09-03,193275,30365,1.0,6.37
7339,2020-09-03,217706,30365,1.0,6.04
7376,2020-09-03,217988,30365,1.0,6.04
7404,2020-09-03,241833,30365,1.0,6.04
7425,2020-09-03,243579,30365,1.0,6.37
7540,2020-09-03,256605,30365,1.0,6.04
7606,2020-09-03,320115,30365,1.0,6.04
7689,2020-09-03,472366,30365,1.0,6.37
7828,2020-09-04,10150,30365,1.0,6.22
7837,2020-09-04,10208,30365,2.0,12.43
7840,2020-09-04,11615,30365,2.0,12.08
8017,2020-09-04,15695,30365,1.0,6.04
8158,2020-09-04,16280,30365,1.0,6.04
8203,2020-09-04,17454,30365,1.0,6.04
8310,2020-09-04,19317,30365,1.0,6.57
8437,2020-09-04,24166,30365,1.0,5.82
8576,2020-09-04,25564,30365,1.0,6.04
8721,2020-09-04,27611,30365,1.0,6.04
8746,2020-09-04,27664,30365,1.0,6.04
8886,2020-09-04,30194,30365,1.0,6.04
8919,2020-09-04,30530,30365,1.0,6.04
8970,2020-09-04,33663,30365,2.0,11.64
8990,2020-09-04,33827,30365,1.0,6.04
9068,2020-09-04,34457,30365,1.0,5.82
9113,2020-09-04,35491,30365,1.0,6.04
9128,2020-09-04,35543,30365,2.0,12.08
9141,2020-09-04,35608,30365,3.0,18.12
9169,2020-09-04,39597,30365,1.0,6.04
9215,2020-09-04,41384,30365,1.0,6.04
9225,2020-09-04,41414,30365,1.0,6.04
9252,2020-09-04,41452,30365,1.0,6.04
9327,2020-09-04,41553,30365,1.0,6.37
9383,2020-09-04,42456,30365,2.0,12.08
9389,2020-09-04,42478,30365,1.0,6.04
9398,2020-09-04,42501,30365,1.0,6.04
9426,2020-09-04,43851,30365,1.0,6.04
9431,2020-09-04,43888,30365,1.0,6.04
9499,2020-09-04,49448,30365,1.0,5.82
9545,2020-09-04,50086,30365,1.0,6.04
9563,2020-09-04,50280,30365,1.0,6.04
9576,2020-09-04,50425,30365,2.0,12.08
9643,2020-09-04,52550,30365,1.0,6.04
9690,2020-09-04,53882,30365,2.0,12.08
9720,2020-09-04,53972,30365,1.0,6.04
9819,2020-09-04,57597,30365,1.0,6.04
9839,2020-09-04,57618,30365,2.0,12.08
9853,2020-09-04,57630,30365,1.0,6.04
9881,2020-09-04,57680,30365,1.0,6.04
9955,2020-09-04,58114,30365,1.0,6.37
10029,2020-09-04,58328,30365,1.0,6.37
10110,2020-09-04,59003,30365,1.0,6.37
10223,2020-09-04,65512,30365,1.0,6.04
10245,2020-09-04,65600,30365,2.0,12.08
10263,2020-09-04,65915,30365,1.0,6.37
10284,2020-09-04,66084,30365,1.0,6.37
10291,2020-09-04,66099,30365,1.0,6.37
10336,2020-09-04,70497,30365,2.0,12.74
10411,2020-09-04,70746,30365,1.0,6.37
10468,2020-09-04,72321,30365,1.0,6.37
10558,2020-09-04,75791,30365,1.0,6.04
10563,2020-09-04,75822,30365,1.0,6.04
10587,2020-09-04,76148,30365,1.0,6.04
10596,2020-09-04,76156,30365,1.0,6.04
10710,2020-09-04,81601,30365,1.0,6.37
10718,2020-09-04,81733,30365,1.0,6.37
10727,2020-09-04,89148,30365,1.0,6.04
10781,2020-09-04,92417,30365,1.0,6.04
10825,2020-09-04,98971,30365,1.0,6.04
10867,2020-09-04,101243,30365,2.0,12.74
10883,2020-09-04,101337,30365,1.0,6.37
10899,2020-09-04,101485,30365,2.0,12.74
10904,2020-09-04,101604,30365,1.0,6.37
10924,2020-09-04,102878,30365,1.0,6.37
11081,2020-09-04,144264,30365,1.0,6.04
11100,2020-09-04,144284,30365,2.0,12.08
11129,2020-09-04,149190,30365,1.0,6.04
11131,2020-09-04,149191,30365,1.0,6.04
11244,2020-09-04,186932,30365,1.0,6.04
11250,2020-09-04,186961,30365,1.0,6.04
11259,2020-09-04,187057,30365,1.0,6.04
11288,2020-09-04,189886,30365,1.0,6.04
11304,2020-09-04,189925,30365,1.0,6.04
11387,2020-09-04,190095,30365,1.0,6.04
11401,2020-09-04,190141,30365,1.0,6.04
11412,2020-09-04,193433,30365,1.0,6.37
11451,2020-09-04,218088,30365,1.0,6.04
11457,2020-09-04,218139,30365,1.0,6.04
11487,2020-09-04,242019,30365,1.0,6.04
11497,2020-09-04,242084,30365,1.0,6.04
